,Date,Last Price
457,2009-12-09,22.66
458,2009-12-10,22.32
459,2009-12-11,21.59
460,2009-12-14,21.15
461,2009-12-15,21.49
462,2009-12-16,20.54
463,2009-12-17,22.51
464,2009-12-18,21.68
465,2009-12-21,20.49
466,2009-12-22,19.54
467,2009-12-23,19.71
468,2009-12-24,19.47
469,2009-12-28,19.93
470,2009-12-29,20.01
471,2009-12-30,19.96
472,2009-12-31,21.68
473,2010-01-04,20.04
474,2010-01-05,19.35
475,2010-01-06,19.16
476,2010-01-07,19.06
477,2010-01-08,18.13
478,2010-01-11,17.55
479,2010-01-12,18.25
480,2010-01-13,17.85
481,2010-01-14,17.63
482,2010-01-15,17.91
483,2010-01-19,17.58
484,2010-01-20,18.68
485,2010-01-21,22.27
486,2010-01-22,27.31
487,2010-01-25,25.41
488,2010-01-26,24.55
489,2010-01-27,23.14
490,2010-01-28,23.73
491,2010-01-29,24.62
492,2010-02-01,22.59
493,2010-02-02,21.48
494,2010-02-03,21.6
495,2010-02-04,26.08
496,2010-02-05,26.11
497,2010-02-08,26.51
498,2010-02-09,26.0
499,2010-02-10,25.4
500,2010-02-11,23.96
501,2010-02-12,22.73
502,2010-02-16,22.25
503,2010-02-17,21.72
504,2010-02-18,20.63
505,2010-02-19,20.02
506,2010-02-22,19.94
507,2010-02-23,21.37
508,2010-02-24,20.27
509,2010-02-25,20.1
510,2010-02-26,19.5
511,2010-03-01,19.26
512,2010-03-02,19.06
513,2010-03-03,18.83
514,2010-03-04,18.72
515,2010-03-05,17.42
516,2010-03-08,17.79
517,2010-03-09,17.92
518,2010-03-10,18.57
519,2010-03-11,18.06
520,2010-03-12,17.58
521,2010-03-15,18.0
522,2010-03-16,17.69
523,2010-03-17,16.91
524,2010-03-18,16.62
525,2010-03-19,16.97
526,2010-03-22,16.87
527,2010-03-23,16.35
528,2010-03-24,17.55
529,2010-03-25,18.4
530,2010-03-26,17.77
531,2010-03-29,17.59
532,2010-03-30,17.13
533,2010-03-31,17.59
534,2010-04-01,17.47
535,2010-04-05,17.02
536,2010-04-06,16.23
537,2010-04-07,16.62
538,2010-04-08,16.48
539,2010-04-09,16.14
540,2010-04-12,15.58
541,2010-04-13,16.2
542,2010-04-14,15.59
543,2010-04-15,15.89
544,2010-04-16,18.36
545,2010-04-19,17.34
546,2010-04-20,15.73
547,2010-04-21,16.32
548,2010-04-22,16.47
549,2010-04-23,16.62
550,2010-04-26,17.47
551,2010-04-27,22.81
552,2010-04-28,21.08
553,2010-04-29,18.44
554,2010-04-30,22.05
555,2010-05-03,20.19
556,2010-05-04,23.84
557,2010-05-05,24.91
558,2010-05-06,32.8
559,2010-05-07,40.95
560,2010-05-10,28.84
561,2010-05-11,28.32
562,2010-05-12,25.52
563,2010-05-13,26.68
564,2010-05-14,31.24
565,2010-05-17,30.84
566,2010-05-18,33.55
567,2010-05-19,35.32
568,2010-05-20,45.79
569,2010-05-21,40.1
570,2010-05-24,38.32
571,2010-05-25,34.61
572,2010-05-26,35.02
573,2010-05-27,29.68
574,2010-05-28,32.07
575,2010-06-01,35.54
576,2010-06-02,30.17
577,2010-06-03,29.46
578,2010-06-04,35.48
579,2010-06-07,36.57
580,2010-06-08,33.7
581,2010-06-09,33.73
582,2010-06-10,30.57
583,2010-06-11,28.79
584,2010-06-14,28.58
585,2010-06-15,25.87
586,2010-06-16,25.92
587,2010-06-17,25.05
588,2010-06-18,23.95
589,2010-06-21,24.88
590,2010-06-22,27.05
591,2010-06-23,26.91
592,2010-06-24,29.74
593,2010-06-25,28.53
